orgid,organization,lat,long,accuracy,address_type,formatted_address,AB_nonprofit_flag,Calgary_Foundation_flag,CRA_donee_flag,Google_Place_flag,Postal Code,street,quadrant,calgary_ward_2017_label,ahs_local_code,AHS_Local_Name,CFSAUID,FSA_id,CFSAUID_EDIT_add_lowercase,comm_code,community_name,CTUID
93,CALGARY CENTRE,51.0481322,-114.06331,establishment,"establishment,point_of_interest","111 5 Ave SW Suite 100, Calgary, AB T2P 3Y6, Canada",N,N,N,Y,T2P3Y6,111 5 Ave SW Suite 100,SW,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
95,CALGARY CHINATOWN SENIORS HOUSING SOCIETY,51.0503753,-114.0612519,establishment,"establishment,health,point_of_interest","122 3 Avenue SE, Calgary, AB T2G 5G4, Canada",Y,N,N,Y,T2G5G4,122 3 Avenue SE,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,CHN,CHINATOWN,8250042.00
96,CALGARY CHINESE COMMUNITY SERVICE ASSOCIATION (CCCSA),51.0646512,-114.0622697,establishment,"establishment,point_of_interest","1406 Centre St N, Calgary, AB T2E 2R9, Canada",N,Y,Y,N,T2E2R9,1406 Centre St N,NE,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,CRE,CRESCENT HEIGHTS,8250059.00
97,CALGARY CHINESE ELDERLY CITIZENS’ ASSOCIATION,51.0519413,-114.0629594,establishment,"establishment,point_of_interest","111 Riverfront Ave SW, Calgary, AB T2P 4Y8, Canada",N,Y,Y,N,T2P4Y8,111 Riverfront Ave SW,SW,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,CHN,CHINATOWN,8250043.00
99,CALGARY COMMUNITY DAY SERVICES,50.9794955,-114.0262955,establishment,"establishment,point_of_interest","540 Riverbend Dr SE, Calgary, AB T2C 3X9, Canada",N,N,N,Y,T2C3X9,540 Riverbend Dr SE,SE,WARD 12,Z2.3.B.02,CALGARY - SE,T2C,3,T2C,RIV,RIVERBEND,8250002.07
100,CALGARY CONNECTEEN,51.0464802,-114.0845661,establishment,"establishment,point_of_interest","1010 8 Ave SW #300, Calgary, AB T2P 1J2, Canada",N,N,N,Y,T2P1J2,1010 8 Ave SW #300,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNW,DOWNTOWN WEST END,8250046.01
101,CALGARY COUNSELLING CENTRE,51.041196,-114.062991,establishment,"establishment,health,point_of_interest","105 12 Ave SE Suite 1000, Calgary, AB T2G 1A1, Canada",Y,Y,Y,N,T2G1A1,105 12 Ave SE Suite 1000,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
102,CALGARY DOMESTIC VIOLENCE COLLECTIVE,51.0367084,-114.0718761,establishment,"establishment,point_of_interest","501 18 Ave SW Suite #301, Calgary, AB T2S 0C7, Canada",N,N,N,Y,T2S0C7,501 18 Ave SW Suite #301,SW,WARD 8,Z2.4.D.04,CALGARY - ELBOW,T2S,110,T2S,CLI,CLIFF BUNGALOW,8250027.00
103,CALGARY DREAM CENTRE,51.013114,-114.0650709,establishment,"establishment,point_of_interest","4510 Macleod Trail SW, Calgary, AB T2G 0A4, Canada",Y,Y,Y,Y,T2G0A4,4510 Macleod Trail SW,SW,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MAN,MANCHESTER,8250030.00
104,CALGARY DROP-IN & REHAB CENTRE SOCIETY,51.048793,-114.053829,establishment,"establishment,point_of_interest","1 Dermot Baldwin Way SE, Calgary, AB T2G 0P8, Canada",Y,Y,Y,Y,T2G0P8,1 Dermot Baldwin Way SE,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,DNE,DOWNTOWN EAST VILLAGE,8250042.00
105,CALGARY EAST VILLAGE HOUSING SOCIETY,51.0454216,-114.0505229,establishment,"establishment,point_of_interest","750 5 St SE, Calgary, AB T2G 5B4, Canada",N,N,N,Y,T2G5B4,750 5 St SE,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,DNE,DOWNTOWN EAST VILLAGE,8250042.00
106,CALGARY ENGLISH LANGUAGE SCHOOL,51.0495667,-114.074848,establishment,"establishment,point_of_interest,school","100 4 Ave SW, Calgary, AB T2P 3N2, Canada",N,N,N,Y,T2P3N2,100 4 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
107,CALGARY FAMILY SERVICES,51.0549011,-113.9852436,establishment,"establishment,point_of_interest","495 36 St NE, Calgary, AB T2A 6K3, Canada",N,N,Y,Y,T2A6K3,495 36 St NE,NE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2A,174,T2A,FRA,FRANKLIN,8250039.00
108,CALGARY FETAL ALCOHOL NETWORK,50.9787459,-114.0118792,establishment,"establishment,point_of_interest","141-200 Rivercrest Dr SE, Calgary, AB T2C 2X5, Canada",N,Y,Y,N,T2C2X5,141-200 Rivercrest Dr SE,SE,WARD 12,Z2.3.B.02,CALGARY - SE,T2C,3,T2C,RIV,RIVERBEND,8250002.08
109,CALGARY FOOD BANK,51.0099672,-114.036574,establishment,"establishment,food,point_of_interest","5000 11 St SE, Calgary, AB T2H 2Y5, Canada",N,N,Y,Y,T2H2Y5,5000 11 St SE,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2J,37,T2J,HIF,HIGHFIELD,8250003.00
110,CALGARY FOOD BANK DEPOT,51.1023604,-113.93385,establishment,"establishment,point_of_interest","5206 68 St NE, Calgary, AB T3J 3L9, Canada",N,N,N,Y,T3J3L9,5206 68 St NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T3J,83,T3J,COR,CORAL SPRINGS,8250038.27
111,CALGARY FOUNDATION,51.041156,-114.062996,establishment,"establishment,point_of_interest","105 12 Ave SE #1180, Calgary, AB T2G 1A1, Canada",N,N,Y,Y,T2G1A1,105 12 Ave SE #1180,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
112,CALGARY HANDIBUS FOUNDATION,51.0866436,-114.0595677,car_rental,"car_rental,establishment,point_of_interest","231 37 Ave NE, Calgary, AB T2E 2M3, Canada",Y,Y,Y,N,T2E2M3,231 37 Ave NE,NE,WARD 4,Z2.1.C.03,CALGARY - NOSEHILL,T2E,4,T2E,GRI,GREENVIEW INDUSTRIAL PARK,8250072.00
113,CALGARY HERITAGE HOUSING,51.0913287,-114.0296065,establishment,"establishment,point_of_interest","4303 14 St NE #3, Calgary, AB T2E 7A9, Canada",N,N,N,Y,T2E7A9,4303 14 St NE #3,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,MCI,MCCALL,8250061.00
114,CALGARY HOMELESS FOUNDATION,51.0466041,-114.0585933,establishment,"establishment,point_of_interest","615 Macleod Trail SE suite 1500, Calgary, AB T2G 4T8, Canada",Y,Y,Y,Y,T2G4T8,615 Macleod Trail SE suite 1500,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,DNC,DOWNTOWN COMMERCIAL CORE,8250042.00
115,CALGARY HORTICULTURAL SOCIETY,51.0092188,-114.0682243,establishment,"establishment,point_of_interest","208 50 Ave SW, Calgary, AB T2S 2S1, Canada",Y,Y,Y,N,T2S2S1,208 50 Ave SW,SW,WARD 11,Z2.4.D.04,CALGARY - ELBOW,T2G,34,T2G,EYA,ELBOYA,8250030.00
116,CALGARY HOUSING COMPANY - EAST DISTRICT,51.0560012,-113.9789411,establishment,"establishment,point_of_interest","433 Marlborough Way NE #320, Calgary, AB T2A 5H5, Canada",N,N,N,Y,T2A5H5,433 Marlborough Way NE #320,NE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2A,174,T2A,MRL,MARLBOROUGH,8250038.03
117,CALGARY HOUSING COMPANY - SOUTH DISTRICT,50.995132,-114.062487,establishment,"establishment,point_of_interest","6624 Centre St S #18, Calgary, AB T2H 0C6, Canada",N,N,N,Y,T2H0C6,6624 Centre St S #18,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
118,CALGARY HOUSING COMPANY - WEST DISTRICT,51.0671775,-114.0628161,establishment,"establishment,point_of_interest","1701 Centre St N, Calgary, AB T2E 8A4, Canada",N,N,N,Y,T2E8A4,1701 Centre St N,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2E,4,T2E,TUX,TUXEDO PARK,8250062.00
119,CALGARY HUMANE SOCIETY,50.955465,-113.971088,establishment,"establishment,point_of_interest","4455 110 Ave SE, Calgary, AB T2C 2T7, Canada",N,N,Y,Y,T2C2T7,4455 110 Ave SE,SE,WARD 12,Z2.3.B.02,CALGARY - SE,T2Z,154,T2Z,ESH,EAST SHEPARD INDUSTRIAL,8250002.04
120,CALGARY IMMIGRANT WOMEN'S ASSOCIATION,51.049562,-114.060635,establishment,"establishment,health,point_of_interest","138 4 Ave SE #200, Calgary, AB T2G 4Z6, Canada",Y,N,Y,Y,T2G4Z6,138 4 Ave SE #200,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,CHN,CHINATOWN,8250042.00
121,CALGARY INTERNATIONAL LANGUAGE,51.0680486,-114.1984747,establishment,"establishment,point_of_interest","700 77 St SW, Calgary, AB T3H 5R1, Canada",N,N,Y,Y,T3H5R1,700 77 St SW,SW,WARD 6,Z2.4.A.01,CALGARY - WEST,T3H,82,T3H,CGR,COUGAR RIDGE,8250050.08
122,CALGARY JOHN HOWARD SOCIETY,51.0119378,-114.0605141,establishment,"establishment,point_of_interest","4502 Builders Rd SE #1000, Calgary, AB T2G 4C6, Canada",N,Y,Y,N,T2G4C6,4502 Builders Rd SE #1000,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,MNI,MANCHESTER INDUSTRIAL,8250032.00
123,CALGARY KEYS TO RECOVERY SOCIETY,51.089788,-114.055938,establishment,"establishment,point_of_interest","327 41 Ave NE, Calgary, AB T2E 2N3, Canada",Y,Y,Y,N,T2E2N3,327 41 Ave NE,NE,WARD 4,Z2.1.C.03,CALGARY - NOSEHILL,T2E,4,T2E,GRI,GREENVIEW INDUSTRIAL PARK,8250073.00
124,CALGARY LEGAL GUIDANCE,51.0471317,-114.0799918,establishment,"establishment,lawyer,point_of_interest","840 7 Ave SW #100, Calgary, AB T2P 3G2, Canada",N,N,Y,Y,T2P3G2,840 7 Ave SW #100,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
125,CALGARY LEGAL SUPPORT SERVICES,51.0465445,-114.0767352,establishment,"establishment,point_of_interest","707 7 Ave SW #210, Calgary, AB T2P 3H6, Canada",N,N,N,Y,T2P3H6,707 7 Ave SW #210,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
126,CALGARY MANMIN CHURCH,51.086722,-114.188119,church,"church,establishment,place_of_worship,point_of_interest","3803 69 St NW, Calgary, AB T3B 2J9, Canada",N,N,N,Y,T3B2J9,3803 69 St NW,NW,WARD 1,Z2.1.E.05,CALGARY - WEST BOW,T3B,156,T3B,BOW,BOWNESS,8250050.01
127,CALGARY MEALS ON WHEELS,50.9802891,-113.9491752,establishment,"establishment,point_of_interest","5759 80 Ave SE, Calgary, AB T2C 4S6, Canada",Y,Y,Y,N,T2C4S6,5759 80 Ave SE,SE,WARD 9,Z2.3.A.01,CALGARY - EAST,T2Z,154,T2Z,GPI,GREAT PLAINS,8250002.04
128,CALGARY OUTLINK,51.0412425,-114.0672363,establishment,"establishment,point_of_interest","223 12 Ave SW Unit 105, Calgary, AB T2R 0G9, Canada",N,N,Y,Y,T2R0G9,223 12 Ave SW Unit 105,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
129,CALGARY OUTLINK: CENTER FOR GENDER & SEXUAL DIVERSITY,51.0412425,-114.0672363,establishment,"establishment,point_of_interest","223 12 Ave SW Unit 105, Calgary, AB T2R 0G9, Canada",N,Y,Y,N,T2R0G9,223 12 Ave SW Unit 105,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
130,CALGARY POLICE FOUNDATION,51.0982257,-113.9709361,establishment,"establishment,point_of_interest,police","5111 47 St NE, Calgary, AB T3J 3R2, Canada",Y,Y,Y,N,T3J3R2,5111 47 St NE,NE,WARD 5,Z2.2.A.01,CALGARY - UPPER NE,T3J,83,T3J,WES,WESTWINDS,8250038.31
131,CALGARY PREGNANCY CARE CENTRE,51.0472101,-114.0826822,establishment,"establishment,health,point_of_interest","925 7 Ave SW suite 205, Calgary, AB T2P 1A5, Canada",N,Y,Y,N,T2P1A5,925 7 Ave SW suite 205,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250046.01
132,CALGARY READS (AN EARLY LITERACY INITIATIVE) SOCIETY,51.0440089,-114.0392809,establishment,"establishment,point_of_interest","922 8 Ave SE, Calgary, AB T2G 0M3, Canada",Y,Y,Y,N,T2G0M3,922 8 Ave SE,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,ING,INGLEWOOD,8250034.00
133,CALGARY RESIDENTIAL RENTAL ASSOCIATION (CRRA),51.011604,-114.0669698,establishment,"establishment,point_of_interest,real_estate_agency","4653 Macleod Trail SW, Calgary, AB T2G 0A6, Canada",N,N,N,Y,T2G0A6,4653 Macleod Trail SW,SW,WARD 11,Z2.4.D.04,CALGARY - ELBOW,T2G,34,T2G,EYA,ELBOYA,8250030.00
1019,CALGARY SCOPE SOCIETY,51.0520247,-114.0117654,establishment,"establishment,point_of_interest","219 18 St SE, Calgary, AB T2E 6J5, Canada",Y,N,Y,Y,T2E6J5,219 18 St SE,SE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2E,4,T2E,MLI,MAYLAND,8250040.00
134,CALGARY SENIORS’ RESOURCE SOCIETY,51.085225,-113.9981151,establishment,"establishment,finance,point_of_interest","3639 26 St NE, Calgary, AB T1Y 5E1, Canada",N,Y,Y,N,T1Y5E1,3639 26 St NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T3J,83,T3J,HOR,HORIZON,8250038.31
136,CALGARY SOCIETY FOR PERSONS WITH DISABILITIES,51.0493503,-114.1357151,establishment,"establishment,point_of_interest","3410 Spruce Dr SW, Calgary, AB T3C 3A4, Canada",Y,Y,Y,Y,T3C3A4,3410 Spruce Dr SW,SW,WARD 8,Z2.4.A.01,CALGARY - WEST,T3C,7,T3C,SPR,SPRUCE CLIFF,8250048.00
137,CALGARY STRESS CLINIC,51.0309656,-114.1174995,establishment,"establishment,health,point_of_interest","2632 24 St SW, Calgary, AB T2T 5H9, Canada",N,N,N,Y,T2T5H9,2632 24 St SW,SW,WARD 8,Z2.4.C.03,CALGARY - CENTRE WEST,T2T,111,T2T,RIC,RICHMOND,8250025.00
138,CALGARY WEST CENTRAL PRIMARY CARE NETWORK,50.9998204,-114.0633321,establishment,"establishment,health,point_of_interest","5966 Centre St S, Calgary, AB T2H 0C1, Canada",N,N,N,Y,T2H0C1,5966 Centre St S,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
139,CALGARY WILDLIFE REHABILITATION SOCIETY,51.1575285,-114.2157018,establishment,"establishment,point_of_interest","11555 85 St NW, Calgary, AB T3R 1J3, Canada",Y,N,Y,Y,T3R1J3,11555 85 St NW,NW,WARD 1,Z2.1.A.01,CALGARY - UPPER NW,T3G,9,T3G,01K,01K,8250077.25
140,CALGARY WOMEN’S EMERGENCY SHELTER,51.0383533,-114.0637312,establishment,"establishment,point_of_interest","1509 Centre St S, Calgary, AB T2G 2E6, Canada",N,Y,Y,N,T2G2E6,1509 Centre St S,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
141,CALGARY YOUNG WOMEN'S CHRISTIAN ASSOCIATION,51.0373961,-114.0233285,establishment,"establishment,health,point_of_interest","1715 17 Ave SE, Calgary, AB T2G 5J1, Canada",N,N,Y,Y,T2G5J1,1715 17 Ave SE,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,ING,INGLEWOOD,8250034.00
142,CALGARY YOUTH JUSTICE SOCIETY,51.0471533,-114.075314,establishment,"establishment,point_of_interest","620 7 Ave SW, Calgary, AB T2P 0Y8, Canada",Y,Y,Y,N,T2P0Y8,620 7 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
143,CALGARY'S MATH LADY - PRIVATE FEMALE TUTOR GR 1 TO 6 - HOMESCHOOLING HELP,50.9170481,-113.9392259,establishment,"establishment,point_of_interest,school,secondary_school,university","1520 New Brighton Dr SE, Calgary, AB T2E 2J9, Canada",N,N,N,Y,T2E2J9,1520 New Brighton Dr SE,SE,WARD 12,Z2.3.B.02,CALGARY - SE,T2Z,154,T2Z,NEB,NEW BRIGHTON,8250002.19
144,CALLIOU GROUP,51.0671977,-114.1006527,establishment,"establishment,point_of_interest","1716 16 Ave NW #100, Calgary, AB T2M 0L7, Canada",N,N,N,Y,T2M0L7,1716 16 Ave NW #100,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,CAP,CAPITOL HILL,8250064.00
145,CAMBRIAN HEIGHTS COMMUNITY ASSOCIATION,51.0868028,-114.0875725,establishment,"establishment,point_of_interest","600 Northmount Dr NW, Calgary, AB T2K 3J5, Canada",N,N,N,Y,T2K3J5,600 Northmount Dr NW,NW,WARD 4,Z2.1.C.03,CALGARY - NOSEHILL,T2K,38,T2K,CAM,CAMBRIAN HEIGHTS,8250071.00
147,CANADA ABORIGINAL BUSINESS,51.0484815,-114.0756048,establishment,"establishment,point_of_interest","639 5 Ave SW, Calgary, AB T2P 0M9, Canada",N,N,N,Y,T2P0M9,639 5 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
150,CANADIAN DOWN SYNDROME SOCIETY,51.0699009,-114.0951503,establishment,"establishment,point_of_interest","2003 14 St NW #103, Calgary, AB T2M 3N4, Canada",Y,Y,Y,N,T2M3N4,2003 14 St NW #103,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,CAP,CAPITOL HILL,8250064.00
151,CANADIAN FALLEN HEROES FOUNDATION,51.0526269,-114.0912436,establishment,"establishment,point_of_interest","13A 2115 27 Ave NE, Calgary, AB T2E 7E4, Canada",N,N,Y,Y,T2E7E4,13A 2115 27 Ave NE,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,HIL,HILLHURST,8250057.00
152,CANADIAN LEGACY PROJECT,51.030863,-114.0710739,establishment,"establishment,point_of_interest","2424 4 St SW Suite 900, Calgary, AB T2S 2T4, Canada",Y,N,Y,Y,T2S2T4,2424 4 St SW Suite 900,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2S,110,T2S,MIS,MISSION,8250031.00
153,CANADIAN MENTAL HEALTH ASSOCIATION – CALGARY REGION,51.047369,-114.085448,establishment,"establishment,health,point_of_interest","1040 7 Ave SW #105, Calgary, AB T2P 3G9, Canada",N,Y,Y,N,T2P3G9,1040 7 Ave SW #105,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNW,DOWNTOWN WEST END,8250046.01
154,CANADIAN NATIONAL INSTITUTE FOR THE BLIND (CNIB),51.0489895,-114.0341012,establishment,"establishment,point_of_interest","10 11a St NE, Calgary, AB T2E 4Z3, Canada",N,Y,Y,N,T2E4Z3,10 11a St NE,NE,WARD 9,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,BRD,BRIDGELAND/RIVERSIDE,8250041.00
155,CANADIAN RED CROSS,51.0429447,-114.0916371,establishment,"establishment,point_of_interest","1305 11 Ave SW, Calgary, AB T3C 3P6, Canada",N,N,Y,Y,T3C3P6,1305 11 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T3C,7,T3C,BLN,BELTLINE,8250046.01
156,CANADIAN RED CROSS SOCIETY – ALBERTA AND NWT,51.0429447,-114.0916371,establishment,"establishment,point_of_interest","1305 11 Ave SW, Calgary, AB T3C 3P6, Canada",N,Y,N,N,T3C3P6,1305 11 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T3C,7,T3C,BLN,BELTLINE,8250046.01
157,CANLEARN SOCIETY FOR PERSONS WITH LEARNING DIFFICULTIES,51.0416827,-114.0587168,establishment,"establishment,point_of_interest","1117 Macleod Trail SE #100, Calgary, AB T2G 2M8, Canada",N,Y,Y,N,T2G2M8,1117 Macleod Trail SE #100,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
158,CAPITOL HILL COMMUNITY ASSOCIATION,51.0712612,-114.0964874,establishment,"establishment,point_of_interest,stadium","1531 21 Ave NW, Calgary, AB T2M 1L9, Canada",N,N,N,Y,T2M1L9,1531 21 Ave NW,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,CAP,CAPITOL HILL,8250064.00
160,CARE CONNECT CHRISTIAN SOCIETY,51.0497453,-114.0449447,establishment,"establishment,food,point_of_interest","736 McDougall Ct NE, Calgary, AB T2E 2W6, Canada",Y,N,Y,Y,T2E2W6,736 McDougall Ct NE,NE,WARD 9,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,BRD,BRIDGELAND/RIVERSIDE,8250041.00
161,CARE TO SHARE SENIOR SVC,51.038081,-114.097594,establishment,"establishment,point_of_interest","1608 17 Ave SW #204, Calgary, AB T2T 0E3, Canada",N,N,N,Y,T2T0E3,1608 17 Ave SW #204,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T3C,7,T3C,SNA,SUNALTA,8250046.02
162,CAREER MANAGEMENT SERVICES,51.0376029,-114.0907357,establishment,"establishment,health,point_of_interest","1235 17 Ave SW #305, Calgary, AB T2T 0C2, Canada",N,N,N,Y,T2T0C2,1235 17 Ave SW #305,SW,WARD 8,Z2.4.D.04,CALGARY - ELBOW,T2T,111,T2T,LMR,LOWER MOUNT ROYAL,8250027.00
164,CAREERS BY DESIGN | CALGARY,51.048499,-114.07569,establishment,"establishment,health,point_of_interest","639 5 Ave SW #850, Calgary, AB T2P 0M9, Canada",N,N,N,Y,T2P0M9,639 5 Ave SW #850,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
165,CAREWEST OPERATIONAL STRESS INJURY CLINIC,51.0839758,-114.1547088,establishment,"establishment,health,point_of_interest","3625 Shaganappi Trail NW, Calgary, AB T3A 0E2, Canada",N,N,N,Y,T3A0E2,3625 Shaganappi Trail NW,NW,WARD 1,Z2.1.D.04,CALGARY - LOWER NW,T3A,155,T3A,VAR,VARSITY,8250052.04
1008,CARTHY FOUNDATION,51.0457685,-114.0633456,establishment,"establishment,point_of_interest","150 9 Ave SW suite 1800, Calgary, AB T2P 3H9, Canada",Y,N,Y,Y,T2P3H9,150 9 Ave SW suite 1800,SW,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
166,CARYA SOCIETY OF CALGARY,51.0485784,-114.0807059,establishment,"establishment,point_of_interest","839 5 Ave SW #180, Calgary, AB T2P 3C8, Canada",Y,Y,Y,N,T2P3C8,839 5 Ave SW #180,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
167,CATHOLIC FAMILY SERVICE OF CALGARY,51.043561,-114.076907,establishment,"establishment,health,point_of_interest","707 10 Ave SW #250, Calgary, AB T2R 0B3, Canada",N,Y,Y,N,T2R0B3,707 10 Ave SW #250,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
168,CAUSE CANADA,51.054987,-114.095131,establishment,"establishment,point_of_interest","301 14 St NW suite 150, Calgary, AB T2A 2A1, Canada",N,Y,N,N,T2A2A1,301 14 St NW suite 150,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,HIL,HILLHURST,8250057.00
171,CENTRE FOR AFFORDABLE WATER AND SANITATION TECHNOLOGY (CAWST),50.9984096,-114.0593612,establishment,"establishment,point_of_interest","6020 2 St SE B12, Calgary, AB T2H 2L8, Canada",Y,Y,Y,N,T2H2L8,6020 2 St SE B12,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
172,CENTRE FOR NEWCOMERS SOCIETY OF CALGARY,51.0613204,-113.984699,establishment,"establishment,point_of_interest","999 - 36 Street Northeast #1010, Calgary, AB T2A 7X6, Canada",Y,Y,Y,N,T2A7X6,999 - 36 Street Northeast #1010,NE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2A,174,T2A,FRA,FRANKLIN,8250039.00
173,CENTRE FOR SEXUALITY (FORMERLY CALGARY SEXUAL HEALTH CENTRE),51.0383867,-114.0640522,establishment,"establishment,health,point_of_interest","1509 Centre St S, Calgary, AB T2G 2E6, Canada",N,Y,N,N,T2G2E6,1509 Centre St S,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2S,110,T2S,BLN,BELTLINE,8250031.00
174,CENTRE FOR SUICIDE PREVENTION,51.0411562,-114.0629964,establishment,"establishment,point_of_interest","105 12 Ave SE #320, Calgary, AB T2G 1A1, Canada",N,Y,Y,N,T2G1A1,105 12 Ave SE #320,SE,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,BLN,BELTLINE,8250031.00
1021,CENTRE OF HOPE,51.0444695,-114.0562647,"",Non-profit organization (google maps),"420 9 Ave SE, Calgary, AB T2G 0R9","","","","",T2G0R9,420 9 Ave SE,SE,WARD 7,Z2.4.B.02,CALGARY - CENTRE,T2G,33,T2G,DNC,DOWNTOWN COMMERCIAL CORE,8250042.00
176,CEREBRAL PALSY ASSOCIATION IN ALBERTA (CPAA),50.9433229,-113.9725975,clothing_store,"clothing_store,establishment,point_of_interest,store","12001 44 St SE, Calgary, AB T2Z 4G9, Canada",N,Y,Y,N,T2Z4G9,12001 44 St SE,SE,WARD 12,Z2.3.B.02,CALGARY - SE,T2Z,154,T2Z,ESH,EAST SHEPARD INDUSTRIAL,8250002.04
177,CEREBRAL PALSY KIDS AND FAMILIES,50.990697,-114.0731889,establishment,"establishment,point_of_interest","7015 Macleod Trail #116 SW, Calgary, AB T2H 2K6, Canada",N,Y,Y,N,T2H2K6,7015 Macleod Trail #116 SW,SW,WARD 11,Z2.4.E.05,CALGARY - FISH CREEK,T2V,149,T2V,KIN,KINGSLAND,8250013.00
